SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523896,APIL        ,XT,Q,10.23,10.23,10.23,10.23,10.23,9.75,3,131,1340.00,
524000,MAGMA FIN   ,A ,Q,132.00,140.95,131.35,140.95,140.95,134.25,3925,451906,63255980.00,
524013,HIND.FLUROCA,B ,Q,9.02,9.33,8.46,9.33,9.33,8.89,52,5589,51191.00,
524019,KINGFA      ,B ,Q,601.00,660.55,599.45,637.10,652.50,585.90,669,6668,4210772.00,
524031,PATIDAR     ,X ,Q,1.34,1.34,1.34,1.34,1.34,1.28,1,10,13.00,
524037,RAMA PHOSPH ,X ,Q,129.80,130.00,125.20,125.95,125.95,127.35,621,101004,12817806.00,
524051,POLYPLEX    ,A ,Q,1174.90,1174.90,1085.00,1094.15,1102.50,1153.10,849,12404,13857457.00,
524075,ALBERT DAVID,B ,Q,453.90,459.00,447.05,450.65,451.90,446.25,201,1820,825541.00,
524080,HAR.LEATHER ,XT,Q,31.35,33.00,31.35,33.00,33.00,33.00,6,576,18324.00,
524091,ACRYCIL LTD.,B ,Q,353.00,353.00,322.50,330.30,330.30,344.75,745,15353,5199696.00,
524109,KABRA EXTR  ,B ,Q,161.50,169.15,161.50,162.90,163.35,163.85,294,11438,1880010.00,
524129,VINYL CHEM  ,B ,Q,136.70,139.50,135.90,137.60,137.60,137.15,595,24848,3429415.00,
524136,PEE CEE COSM,X ,Q,125.25,133.20,121.50,123.55,123.45,125.25,42,808,100384.00,
524156,T C M LTD.  ,X ,Q,65.00,67.00,64.05,66.50,66.50,66.95,17,1356,88972.00,
524164,IOL CHEM PH ,A ,Q,657.70,661.55,641.00,643.50,643.50,648.75,2651,106047,69021608.00,
524174,KESAR PETRO ,Z ,Q,5.40,5.47,4.95,5.03,5.30,5.21,166,100694,518437.00,
524200,VINATI ORG. ,A ,Q,1740.00,1740.00,1700.70,1711.30,1704.00,1718.30,924,7324,12637383.00,
524202,LACTOSE(I)  ,X ,Q,29.80,29.80,27.55,28.25,28.25,28.55,61,9078,263431.00,
524208,AARTI INDUST,A ,Q,1800.00,1815.35,1680.50,1696.20,1696.20,1786.00,8787,101368,176427034.00,
524212,WANBURY LTD ,T ,Q,104.85,109.00,101.20,106.35,106.40,106.00,54,7006,727607.00,
524218,RESONANCE   ,X ,Q,135.70,139.25,134.90,138.00,138.50,133.60,235,25375,3479477.00,
